genome,gene,n_tips,n_internal_branches,n_internal_with_alrt,n_internal_with_ufboot,n_zero_alrt,frac_zero_alrt,n_low_alrt_lt_thr,frac_low_alrt_lt_thr,n_low_ufboot_lt_thr,frac_low_ufboot_lt_thr,n_short_bl_internal,frac_short_bl_internal,mean_alrt_internal,median_alrt_internal,mean_ufboot_internal,median_ufboot_internal,mean_bl_internal,median_bl_internal
A353,4942,2735,2733,2732,2732,1370,0.5012806439809733,1578,0.5773874862788145,1227,0.4489571899012075,1132,0.4141968532747896,39.79945095168375,0.0,71.38726207906296,85.0,0.0044587243021595915,0.00112864585
A353,4951,1858,1856,1855,1855,948,0.5107758620689655,1082,0.5829741379310345,825,0.44450431034482757,810,0.4364224137931034,39.09132075471697,0.0,69.74285714285715,85.0,0.004746142700646891,0.0017143541
A353,4954,2571,2569,2568,2568,1095,0.4262358894511483,1304,0.5075905021409108,1030,0.4009342156481121,912,0.35500194628260023,46.41982087227413,66.6,73.58333333333333,90.0,0.00349012294579439,0.0012091305
A353,4989,1970,1968,1967,1967,1038,0.5274390243902439,1142,0.5802845528455285,974,0.4949186991869919,908,0.4613821138211382,38.24672089476359,0.0,65.82003050330452,81.0,0.0029268948216573426,0.0014125003
A353,4992,2773,2771,2770,2770,1241,0.44785276073619634,1415,0.5106459761818838,1315,0.4745579213280404,1011,0.36485023457235655,46.07841155234655,61.2,70.2216606498195,83.0,0.0024198497107220116,0.00062198915
A353,5018,2382,2380,2379,2379,1058,0.4445378151260504,1250,0.5252100840336135,1022,0.4294117647058823,873,0.3668067226890756,44.69180327868855,52.9,72.2051282051282,88.0,0.00324330303430012,0.0010599384
A353,5032,2531,2529,2528,2528,1321,0.5223408461842626,1495,0.5911427441676552,1185,0.46856465005931197,1141,0.4511664689600633,38.427056962025304,0.0,67.85403481012658,84.0,0.00460828603682753,0.0012906041
A353,5034,2291,2289,2288,2288,974,0.4255133245958934,1156,0.5050240279598078,899,0.39274792485801663,846,0.36959370904325034,46.380026223776206,68.0,73.33347902097903,90.0,0.004581377469099651,0.0016050514999999999
A353,5038,2250,2248,2247,2247,1160,0.5160142348754448,1283,0.5707295373665481,907,0.40346975088967973,1002,0.445729537366548,39.201112594570525,0.0,73.96751223854028,89.0,0.002841646905028922,0.0014110588
A353,5064,2131,2129,2128,2128,1694,0.7956787224048849,1742,0.8182245185533115,1464,0.687646782527008,1516,0.7120713950211367,16.395394736842118,0.0,46.21945488721804,36.0,0.004561499390037625,2.3336e-06
A353,5090,2544,2542,2541,2541,1534,0.6034618410700237,1693,0.6660110149488592,1489,0.5857592446892211,1321,0.519669551534225,31.22231404958678,0.0,58.45769382133018,67.0,0.0034272529399842653,2.9456e-06
A353,5104,2450,2448,2447,2447,1368,0.5588235294117647,1516,0.619281045751634,1315,0.5371732026143791,1132,0.4624183006535948,34.553984470780584,0.0,64.3359215365754,73.0,0.003977242361708219,0.0022886117
A353,5116,2461,2459,2458,2458,1109,0.45099633997559985,1300,0.5286701911346076,1044,0.42456283041886944,937,0.3810492069947133,44.55093572009761,47.45,70.76606997558991,89.0,0.003207117133034991,0.0009813448
A353,5123,2326,2324,2323,2323,1092,0.46987951807228917,1269,0.5460413080895009,990,0.4259896729776248,902,0.38812392426850256,42.48097287989666,35.9,73.90055962117951,87.0,0.0042605207035729805,0.0013901949
A353,5131,2317,2315,2314,2314,1246,0.5382289416846652,1405,0.6069114470842333,1099,0.47473002159827216,1053,0.4548596112311015,36.950605012964566,0.0,68.01382886776145,83.0,0.002973666799524635,0.0010638327
A353,5162,2590,2588,2587,2587,928,0.35857805255023184,1164,0.44976816074188564,908,0.3508500772797527,758,0.2928902627511592,52.45732508697323,75.1,75.50096637031311,94.0,0.00403240448581369,0.0014817329
A353,5163,2482,2480,2479,2479,1083,0.4366935483870968,1280,0.5161290322580645,1065,0.42943548387096775,905,0.3649193548387097,45.816296893908806,61.6,71.07946752722872,86.0,0.00231795779269867,0.0007909088
A353,5168,2315,2313,2312,2312,1134,0.490272373540856,1308,0.5654993514915694,1005,0.4345006485084306,934,0.40380458279290965,40.55635813148796,17.5,69.9576124567474,86.0,0.0032889387544550158,0.0011855515
A353,5177,2551,2549,2548,2548,1309,0.5135347194978422,1503,0.5896429972538251,1180,0.4629266378972146,1108,0.43468026677128285,38.39442700156986,0.0,68.27590266875981,83.0,0.004225385122135008,0.00163944605
A353,5188,2410,2408,2407,2407,1122,0.4659468438538206,1324,0.5498338870431894,966,0.4011627906976744,926,0.3845514950166113,42.86942251765682,38.3,75.44495222268384,90.0,0.004460610864270855,0.0015119574
A353,5200,2120,2118,2117,2117,1217,0.5745986779981114,1326,0.6260623229461756,1013,0.47828139754485366,1021,0.48205854579792257,34.37562588568731,0.0,66.77893245158243,81.0,0.0031356026619744847,0.000130581
A353,5206,1922,1920,1919,1919,1104,0.575,1231,0.6411458333333333,990,0.515625,946,0.49270833333333336,33.80015633142256,0.0,65.04794163626889,77.0,0.0035832827487232944,0.0001829036
A353,5220,2173,2171,2170,2170,1281,0.5900506678949793,1410,0.649470290188853,1101,0.5071395670198066,1090,0.5020727775218793,32.50336405529956,0.0,64.62165898617512,78.0,0.0030608222332718883,3.8858e-06
A353,5257,2377,2375,2374,2374,1025,0.43157894736842106,1233,0.5191578947368422,1115,0.4694736842105263,854,0.35957894736842105,45.88184498736311,62.45,70.65543386689133,82.0,0.004732032207750636,0.0012403968
A353,5264,2830,2828,2827,2827,1119,0.39568599717114566,1408,0.49787835926449786,1096,0.38755304101838756,918,0.3246110325318246,48.81605942695432,70.4,73.11496285815352,92.0,0.003176179268411745,0.0011888986
A353,5271,2330,2328,2327,2327,1194,0.5128865979381443,1355,0.5820446735395189,1041,0.44716494845360827,1037,0.44544673539518903,38.845552213149915,0.0,69.9836699613236,85.0,0.0030299075072195932,0.0016580026
A353,5273,2749,2747,2746,2746,913,0.33236257735711683,1179,0.4291954859847106,1098,0.39970877320713505,729,0.2653804149981798,54.78656227239608,75.9,74.78878368536053,88.0,0.003603740388528771,0.0014601402499999998
A353,5280,2380,2378,2377,2377,920,0.3868797308662742,1155,0.48570227081581163,965,0.40580319596299413,763,0.3208578637510513,49.49167017248627,72.9,72.01346234749684,92.0,0.00385538952747161,0.0014706122
A353,5296,2088,2086,2085,2085,455,0.2181208053691275,745,0.35714285714285715,833,0.39932885906040266,348,0.16682646212847554,63.19808153477214,80.6,77.48920863309353,90.0,0.009342270865803356,0.0048350705
A353,5299,2440,2438,2437,2437,746,0.3059885151763741,1018,0.41755537325676784,833,0.3416735028712059,605,0.24815422477440524,55.42708247845712,76.4,79.21871153057037,92.0,0.005327023262494877,0.0023388903
A353,5304,2391,2389,2388,2388,1235,0.5169526998744245,1394,0.5835077438258686,1129,0.4725826705734617,1007,0.4215152783591461,38.27675879396979,0.0,67.70058626465662,83.0,0.0034189193681742006,0.00162864765
A353,5326,2674,2672,2671,2671,1239,0.46369760479041916,1461,0.5467814371257484,1083,0.40531437125748504,1007,0.3768712574850299,43.425009359790316,41.0,74.00449269936354,90.0,0.0030618149312991363,0.000885699
A353,5328,2025,2023,2022,2022,985,0.48690064260998517,1116,0.5516559565002471,894,0.44191794364804743,845,0.4176964903608502,41.158555885262075,26.3,71.20375865479723,85.0,0.004753866102868455,0.0020475876000000002
A353,5335,2550,2548,2547,2547,874,0.34301412872841447,1125,0.44152276295133436,1055,0.4140502354788069,708,0.2778649921507064,52.91915979583821,75.2,74.06085590891244,89.0,0.003752428855908905,0.0014993467
A353,5339,2642,2640,2639,2639,580,0.2196969696969697,897,0.3397727272727273,1332,0.5045454545454545,460,0.17424242424242425,63.651913603637695,81.5,75.13868889730959,79.0,0.005263986066805607,0.0024008382
A353,5343,2026,2024,2023,2023,823,0.4066205533596838,1009,0.49851778656126483,807,0.3987154150197628,691,0.341403162055336,47.87345526445876,70.8,76.0553633217993,91.0,0.004926977868314385,0.0020122997
A353,5347,1662,1660,1659,1659,1193,0.7186746987951808,1239,0.7463855421686747,983,0.5921686746987952,1080,0.6506024096385542,22.921217600964443,0.0,56.97649186256781,62.0,0.004107777694032572,2.5307e-06
A353,5348,1958,1956,1955,1955,948,0.48466257668711654,1084,0.5541922290388548,839,0.4289366053169734,817,0.4176891615541922,41.26629156010233,28.3,71.09565217391304,87.0,0.004414945569156002,0.0019326944
A353,5354,1981,1979,1978,1978,1085,0.5482566953006569,1215,0.6139464375947449,889,0.4492167761495705,935,0.4724608388074785,35.63523761375125,0.0,71.02376137512638,85.0,0.003448206826086951,0.00188252225
A353,5355,1634,1632,1631,1631,989,0.6060049019607843,1061,0.6501225490196079,820,0.5024509803921569,879,0.5386029411764706,31.55352544451258,0.0,62.33231146535868,79.0,0.004141081150889018,2.8005e-06
A353,5357,1581,1579,1578,1578,987,0.6250791640278658,1052,0.6662444585180494,825,0.5224825839138696,862,0.545915136162128,30.066223067173635,0.0,63.88593155893536,76.0,0.003420278638719905,2.8005e-06
A353,5366,2446,2444,2443,2443,785,0.3211947626841244,1040,0.425531914893617,855,0.3498363338788871,650,0.26595744680851063,54.31981170691772,76.3,79.06426524764633,90.0,0.004440631414613176,0.0015887316
A353,5398,2828,2826,2825,2825,927,0.32802547770700635,1175,0.4157820240622788,1304,0.46142958244869076,774,0.27388535031847133,55.574265486725615,77.1,73.31964601769911,81.0,0.0028551618522477834,0.0011617462
A353,5404,1987,1985,1984,1984,716,0.36070528967254406,887,0.44685138539042824,1052,0.5299748110831234,594,0.29924433249370275,52.349395161290424,75.2,69.20614919354838,77.0,0.00399176420257056,0.0016861906
A353,5421,2315,2313,2312,2312,806,0.34846519671422393,1052,0.454820579334198,904,0.3908344141807177,637,0.2753999135322093,52.12724913494809,74.9,75.54671280276817,91.0,0.003758042069939444,0.00154380435
A353,5422,2149,2147,2146,2146,1051,0.4895202608290638,1189,0.5537959944108057,1034,0.4816022356776898,882,0.41080577550069863,40.965284249767016,15.75,68.52982292637465,82.0,0.0039429715137930975,0.0015318222499999998
A353,5427,2654,2652,2651,2651,1430,0.5392156862745098,1614,0.6085972850678733,1255,0.47322775263951733,1211,0.4566365007541478,36.94345529988683,0.0,67.08223311957752,82.0,0.003095093176688042,0.0011541839
A353,5428,1892,1890,1889,1889,914,0.4835978835978836,1072,0.5671957671957671,907,0.4798941798941799,811,0.4291005291005291,41.14626786659611,29.0,66.26733721545791,82.0,0.00486908016866066,0.0018272545
A353,5430,1676,1674,1673,1673,1010,0.6033452807646356,1090,0.6511350059737157,889,0.5310633213859021,854,0.5101553166069295,31.803765690376576,0.0,66.66228332337118,75.0,0.0033096988682008313,2.9737e-06
A353,5449,2664,2662,2661,2661,1095,0.4113448534936138,1349,0.5067618332081142,1107,0.4158527422990233,932,0.3501126972201352,47.54768883878237,67.6,71.597895527997,91.0,0.0035764253189778292,0.001350787
A353,5454,2598,2596,2595,2595,831,0.32010785824345145,1099,0.4233436055469954,850,0.3274268104776579,699,0.26926040061633283,55.39653179190751,76.6,80.6150289017341,93.0,0.005798065315722549,0.0019881779
A353,5460,2156,2154,2153,2153,1295,0.6012070566388115,1402,0.6508820798514392,1099,0.510213556174559,1154,0.5357474466109564,32.05963771481656,0.0,66.05062703204831,78.0,0.003101445392475617,2.8208e-06
A353,5489,2871,2869,2868,2868,1368,0.4768211920529801,1591,0.5545486232136633,1236,0.4308121296619031,1129,0.3935169048448937,42.27977684797771,30.45,70.28312412831241,86.0,0.00398224185237101,0.00125637125
A353,5502,2347,2345,2344,2344,901,0.3842217484008529,1096,0.4673773987206823,943,0.40213219616204693,752,0.320682302771855,49.757295221842995,73.85,73.78327645051195,90.0,0.003743565544624578,0.0014483130000000001
A353,5513,2550,2548,2547,2547,1188,0.4662480376766091,1364,0.5353218210361067,1091,0.4281789638932496,986,0.3869701726844584,42.790223792697276,42.9,71.28307813113467,88.0,0.009003553862426357,0.0019863824
A353,5528,2953,2951,2950,2950,1161,0.39342595730260926,1404,0.47577092511013214,1076,0.36462216197899017,938,0.31785835310064386,49.00613559322035,73.6,78.51728813559322,91.0,0.002457879395016945,0.0009682036
A353,5531,2160,2158,2157,2157,1257,0.582483781278962,1379,0.639017608897127,958,0.4439295644114921,1086,0.5032437442075997,33.220584144645336,0.0,70.08715808993973,85.0,0.0034447845514603516,3.3141e-06
A353,5536,2377,2375,2374,2374,1401,0.5898947368421052,1521,0.640421052631579,1250,0.5263157894736842,1233,0.5191578947368422,32.76385846672286,0.0,61.35425442291491,74.5,0.003978440920935179,2.8906e-06
A353,5551,2153,2151,2150,2150,1015,0.4718735471873547,1166,0.5420734542073454,891,0.41422594142259417,841,0.3909809390980939,42.55088372093024,40.5,72.83023255813953,89.0,0.0028443376680930194,0.00101469075
A353,5554,2970,2968,2967,2967,1218,0.41037735849056606,1475,0.4969676549865229,1070,0.3605121293800539,1002,0.3376010781671159,47.644860128075564,70.7,78.19346140883047,92.0,0.0040163985636669985,0.0015289598
A353,5562,2356,2354,2353,2353,1450,0.6159728122344945,1585,0.673322005097706,1264,0.5369583687340697,1242,0.5276125743415463,30.030344241393955,0.0,64.47131321716957,75.0,0.004994054582957926,2.91e-06
A353,5594,2617,2615,2614,2614,1330,0.5086042065009561,1502,0.5743785850860421,1262,0.4826003824091778,1184,0.45277246653919695,40.03205814843155,0.0,65.86266258607498,82.0,0.004380147546901302,0.0014937717500000001
A353,5596,3023,3021,3020,3020,1289,0.42667990731545846,1474,0.4879179079774909,1862,0.6163522012578616,1130,0.37404832836809004,48.222483443708576,73.0,56.58907284768212,48.0,0.0026441411104635793,0.0007139519999999999
A353,5614,2377,2375,2374,2374,685,0.28842105263157897,933,0.3928421052631579,799,0.33642105263157895,574,0.24168421052631578,59.01739679865206,79.65,78.54886267902275,92.0,0.004284346140775069,0.0016265511
A353,5620,2357,2355,2354,2354,913,0.38768577494692147,1153,0.48959660297239915,936,0.3974522292993631,759,0.32229299363057323,49.19481733220054,72.15,74.27740016992354,91.0,0.00501880678937978,0.0020503833499999997
A353,5634,2680,2678,2677,2677,1009,0.37677371172516805,1245,0.4648991784914115,1057,0.39469753547423453,843,0.31478715459297985,50.4124392977213,74.2,75.19536794919686,89.0,0.003880416319835636,0.0017873298
A353,5639,2371,2369,2368,2368,945,0.3989024905023216,1157,0.48839172646686363,1001,0.4225411566061629,790,0.33347403967918954,48.545143581081064,72.5,71.11866554054055,89.0,0.004074000849451024,0.0017236521499999998
A353,5642,2361,2359,2358,2358,1518,0.6434930055108097,1616,0.6850360322170411,1234,0.523103009749894,1317,0.5582874099194574,28.594614079728586,0.0,65.13655640373197,76.0,0.0028250327662425953,2.76125e-06
A353,5644,2505,2503,2502,2502,1064,0.42508989212944465,1263,0.5045944866160608,904,0.3611666000799041,903,0.36076707950459447,46.351958433253344,67.5,77.5347721822542,92.0,0.0035279943850519556,0.0012848268499999998
A353,5656,2565,2563,2562,2562,1820,0.7101053452984784,1884,0.7350760827155677,1429,0.5575497463909481,1654,0.6453374951229028,23.618345042935207,0.0,61.247462919594064,69.0,0.003180207257455087,2.6292500000000003e-06
A353,5660,2155,2153,2152,2152,928,0.431026474686484,1106,0.5137018114259173,1067,0.4955875522526707,789,0.36646539712029724,45.623884758364284,63.75,67.62453531598513,80.0,0.005132666820724888,0.0021304898500000002
A353,5664,2464,2462,2461,2461,1017,0.4130787977254265,1233,0.5008123476848091,956,0.388302193338749,817,0.33184402924451667,47.6724502234863,69.7,73.59813084112149,90.0,0.004112897784437219,0.0015945976
A353,5670,2910,2908,2907,2907,1035,0.3559147180192572,1304,0.4484181568088033,990,0.3404401650618982,841,0.2892022008253095,51.99649122807021,75.2,78.63089095287238,93.0,0.002956964556828345,0.0012472194
A353,5699,2626,2624,2623,2623,1391,0.5301067073170732,1546,0.5891768292682927,1476,0.5625,1182,0.4504573170731707,37.984750285932115,0.0,65.82005337399924,74.0,0.002980601784292799,0.0013241566
A353,5702,2480,2478,2477,2477,1125,0.4539951573849879,1335,0.5387409200968523,1097,0.4426957223567393,942,0.3801452784503632,43.773031893419386,50.2,68.45256358498183,87.0,0.0036456071816713736,0.0014858405
A353,5703,2932,2930,2929,2929,1456,0.4969283276450512,1670,0.5699658703071673,1269,0.4331058020477816,1186,0.40477815699658704,40.376237623762364,5.1,72.38716285421646,88.0,0.004714920600751119,0.0017515064
A353,5716,2919,2917,2916,2916,1008,0.34556050737058625,1255,0.4302365443949263,1118,0.38327048337332875,801,0.27459718889269796,53.965432098765355,76.3,75.61351165980795,90.0,0.003597269784910836,0.0013231006
A353,5721,1835,1833,1832,1832,775,0.4228041462084015,929,0.5068194217130387,734,0.4004364429896345,660,0.36006546644844517,46.60562227074236,67.45,73.78329694323143,91.0,0.0041349385033842894,0.0018057705000000001
A353,5733,2428,2426,2425,2425,1177,0.4851607584501237,1328,0.5474031327287716,938,0.3866446826051113,992,0.4089035449299258,41.62894845360831,30.0,74.93360824742268,90.0,0.0037926757251134017,0.001681893
A353,5770,2586,2584,2583,2583,1128,0.43653250773993807,1348,0.521671826625387,1116,0.43188854489164086,906,0.3506191950464396,45.46910569105691,54.6,72.90940766550523,88.0,0.0035145758040263293,0.0011354611
A353,5772,2040,2038,2037,2037,962,0.47203140333660454,1119,0.5490677134445535,958,0.47006869479882235,844,0.4141315014720314,42.150613647520814,35.4,66.10211094747177,85.0,0.004393407290868923,0.0016333265
A353,5791,2247,2245,2244,2244,1039,0.4628062360801782,1209,0.5385300668151448,938,0.4178173719376392,865,0.38530066815144765,42.557174688057025,43.0,72.86140819964349,88.0,0.0032639693438948347,0.00149215355
A353,5802,1700,1698,1697,1697,1064,0.6266195524146054,1140,0.6713780918727915,890,0.5241460541813898,968,0.5700824499411072,29.75497937536833,0.0,63.10076605774897,76.0,0.004042123294578688,2.8347e-06
A353,5815,2448,2446,2445,2445,1319,0.5392477514309076,1490,0.6091578086672118,1252,0.5118560915780866,1123,0.4591169255928046,36.45627811860941,0.0,65.04376278118609,78.0,0.0037080260791002074,0.0013168238
A353,5816,2641,2639,2638,2638,946,0.3584691170898067,1189,0.45054945054945056,884,0.33497536945812806,790,0.2993558165971959,52.388551933282734,75.2,78.92494313874147,93.0,0.003591357557467777,0.0012903552
A353,5821,1971,1969,1968,1968,910,0.4621635347892331,1084,0.5505332656170645,958,0.4865413915693245,763,0.38750634840020315,42.84344512195116,40.15,68.4420731707317,81.0,0.003983053761890227,0.00137178015
A353,5822,2739,2737,2736,2736,1195,0.4366094263792474,1418,0.5180854950675923,1091,0.3986116185604677,992,0.3624406284252832,45.44027777777779,61.6,73.95211988304094,91.0,0.004852906056761693,0.001377173
A353,5840,2140,2138,2137,2137,910,0.4256314312441534,1095,0.5121608980355472,886,0.41440598690364827,751,0.35126286248830685,45.632147870846886,64.5,72.89564810481984,88.0,0.0034733598794571907,0.0014725189
A353,5843,1821,1819,1818,1818,1248,0.6860912589334799,1304,0.7168774051676745,1041,0.5722924683892249,1091,0.59978009895547,25.529482948294824,0.0,60.301980198019805,65.0,0.002956287591474158,2.59355e-06
A353,5849,2329,2327,2326,2326,1315,0.5651052857756769,1438,0.6179630425440481,1078,0.46325741297808337,1123,0.48259561667382894,34.85322441960445,0.0,70.13456577815992,84.0,0.003437041550902821,0.00041748805
A353,5853,2459,2457,2456,2456,1234,0.5022385022385022,1404,0.5714285714285714,1184,0.4818884818884819,1046,0.42572242572242575,39.85321661237787,0.0,66.8578990228013,82.0,0.0038677263292752418,0.0016600487000000001
A353,5857,2218,2216,2215,2215,1114,0.5027075812274369,1287,0.5807761732851986,1181,0.532942238267148,947,0.42734657039711194,39.69110609480811,0.0,61.83205417607223,76.0,0.004690184098419893,0.0015133881
A353,5858,2132,2130,2129,2129,1152,0.5408450704225352,1309,0.6145539906103287,1116,0.523943661971831,998,0.46854460093896716,36.34109910756223,0.0,65.21982151244715,75.0,0.0034786130097698466,0.0015167257
A353,5859,2271,2269,2268,2268,1302,0.5738210665491406,1439,0.6342000881445571,1157,0.50991626267078,1144,0.5041868664609961,34.05207231040564,0.0,64.37830687830687,78.0,0.0029539640643738985,2.97865e-06
A353,5865,2721,2719,2718,2718,1064,0.39132033835969104,1319,0.48510481794777494,954,0.35086428834130196,888,0.32659065833026846,49.26626195732152,73.4,77.71780721118469,92.0,0.003327098255334808,0.00131230645
A353,5866,2844,2842,2841,2841,1281,0.45073891625615764,1535,0.5401125967628431,1364,0.47994370161857847,1024,0.36030964109781843,43.3112636395635,48.9,69.22703273495249,82.0,0.003882971770749729,0.0015667184
A353,5870,2382,2380,2379,2379,1420,0.5966386554621849,1533,0.6441176470588236,1210,0.5084033613445378,1175,0.49369747899159666,32.53825136612021,0.0,66.78520386717108,79.0,0.0027824624578394225,4.94333e-05
A353,5893,2399,2397,2396,2396,857,0.3575302461410096,1087,0.45348352106800166,1047,0.43679599499374216,708,0.295369211514393,51.87028380634391,75.35,72.09265442404006,87.0,0.006116796044657765,0.00285688395
A353,5894,1692,1690,1689,1689,1011,0.598224852071006,1082,0.6402366863905326,869,0.5142011834319526,894,0.5289940828402366,32.32628774422734,0.0,64.06453522794553,78.0,0.0037072104695086002,2.8712e-06
A353,5910,2334,2332,2331,2331,1028,0.44082332761578047,1269,0.5441680960548885,1040,0.44596912521440824,877,0.37607204116638077,44.0620763620763,47.4,68.61218361218361,88.0,0.0044980105076791255,0.0016692608
A353,5913,2527,2525,2524,2524,1112,0.4403960396039604,1334,0.5283168316831683,1123,0.44475247524752476,909,0.36,45.39492868462758,53.55,70.32686212361331,88.0,0.0037082604251188547,0.0011791789
A353,5918,2544,2542,2541,2541,1077,0.42368214004720695,1314,0.5169158143194336,1113,0.43784421715184896,895,0.3520849724626279,45.63872491145207,62.1,71.98268398268398,86.0,0.0056888737805194795,0.0017033244
A353,5919,1997,1995,1994,1994,958,0.48020050125313285,1095,0.5488721804511278,920,0.46115288220551376,817,0.4095238095238095,41.48530591775325,30.950000000000003,70.0025075225677,85.5,0.004591296262136414,0.0022393366
A353,5921,2776,2774,2773,2773,675,0.24333093006488823,932,0.33597692862292716,1633,0.5886806056236482,559,0.20151405912040374,63.42654165164069,82.4,64.73602596465922,66.0,0.0029518361665704963,0.0010843089
A353,5926,2682,2680,2679,2679,1176,0.4388059701492537,1363,0.5085820895522388,1162,0.4335820895522388,991,0.36977611940298505,45.236580813736445,64.5,72.97648376259798,87.0,0.003674815278686082,0.0014515843
A353,5933,2454,2452,2451,2451,1035,0.4221044045676998,1270,0.5179445350734094,984,0.401305057096248,843,0.3438009787928222,46.04267645858829,62.5,75.38066095471237,90.0,0.004210709474255401,0.0016116963
A353,5936,1643,1641,1640,1640,915,0.5575868372943327,1014,0.6179159049360147,781,0.47592931139549055,782,0.4765386959171237,35.30048780487804,0.0,68.4298780487805,82.0,0.00416401221426829,0.0015800517
A353,5940,2058,2056,2055,2055,977,0.47519455252918286,1143,0.5559338521400778,854,0.4153696498054475,830,0.4036964980544747,42.544379562043794,30.9,70.34355231143552,90.0,0.005096165127737218,0.0013220411
A353,5941,1944,1942,1941,1941,1225,0.6307929969104017,1307,0.6730175077239959,1004,0.5169927909371782,1058,0.544799176107106,29.612879958784113,0.0,66.18495620814014,77.0,0.003024531620401861,2.8064e-06
A353,5942,2062,2060,2059,2059,904,0.4388349514563107,1105,0.5364077669902912,838,0.40679611650485437,766,0.3718446601941748,44.46143759106367,54.2,73.4735308402137,88.0,0.005369311789946586,0.0019393781
A353,5943,2674,2672,2671,2671,1128,0.4221556886227545,1334,0.49925149700598803,1522,0.5696107784431138,938,0.35104790419161674,47.30876076375892,70.6,65.2781729689255,70.0,0.002405065286184962,0.000701058
A353,5944,2327,2325,2324,2324,958,0.4120430107526882,1163,0.5002150537634409,913,0.39268817204301076,813,0.3496774193548387,46.89797762478479,69.45,74.60025817555938,91.0,0.0038020243804647125,0.0015741395
A353,5945,2103,2101,2100,2100,920,0.43788672060923367,1105,0.5259400285578296,877,0.4174202760590195,753,0.3584007615421228,44.67019047619046,55.0,73.57857142857142,88.0,0.003898777082619044,0.0014750495
A353,5949,2296,2294,2293,2293,1428,0.6224934612031386,1524,0.6643417611159547,1188,0.5178727114210985,1218,0.5309503051438536,30.849760139555155,0.0,64.93196685564763,76.0,0.003390273414217187,2.9054e-06
A353,5950,2228,2226,2225,2225,1151,0.5170709793351302,1274,0.5723270440251572,935,0.4200359389038634,961,0.43171608265947886,39.267955056179765,0.0,71.45393258426967,87.0,0.0037483077341573016,0.0015018458
A353,5960,2578,2576,2575,2575,815,0.31638198757763975,1041,0.4041149068322981,900,0.34937888198757766,656,0.2546583850931677,56.80260194174755,77.5,77.57126213592232,93.0,0.005998968010135929,0.0022845377
A353,5968,2609,2607,2606,2606,1792,0.6873801304181051,1908,0.7318757192174914,1529,0.5864978902953587,1570,0.6022247794399693,24.532118188795096,0.0,62.874904067536455,69.0,0.00270445287198773,2.61675e-06
